Language	Source	Date	Text
Latvian	rekurzeme.lv	2008/09/04	"""Viņa pirmsnāves zīmītē bija rakstīts vienīgi par smēķēšanas aizlieguma radītajiem rūpestiem,"" laikrakstam paskaidroja nelaiķa svainis Helmuts Ratmanns. ""Tā nebija vērsta pret viņa ģimeni vai politiķiem."""
Latvian	diena.lv	2012/01/10	info@zurnalistiem.lv
Latvian	bauskasdzive.lv	2007/12/27	Bhuto, kas Pakistānā no trimdas atgriezās tikai pirms diviem mēnešiem, uzstājās priekšvēlēšanu mītiņā, kas organizēts pirms nākamajā mēnesī gaidāmajām parlamenta vēlēšanām.
Latvian	bauskasdzive.lv	2008/10/08	Plkst. 4.00 Samoilovs / Pļaviņš (pludmales volejbols, B apakšgrupa). Latvijas izlase stāsies pretī Argentīnai (spēles atkārtojums – plkst. 08.20).
Latvian	diena.lv	2011/10/05	CVK bija vērsusies Skaburska, lūdzot izskaidrot, kāpēc viņa palikusi aiz svītras, ja sākotnēji tika ziņots, ka viņa ir ievēlēta.
Latvian	zz.lv	2011/05/16	Apbalvojumus piešķir piemiņas zīmes valde Saeimas priekšsēdētāja vadībā. Valdē ir vēl četri locekļi – 1991.gada barikāžu muzeja direktors Renārs Zaļais, rakstniece un žurnāliste Marina Kosteņecka, Latvijas Pašvaldību savienības priekšsēdis Andris Jaunsleinis un Saeimas Kancelejas direktors Māris Steins.
Latvian	ntz.lv	2010/08/13	- Amerikā biju uzaicināts viesoties ar visu ģimeni. Bijām tur pirms nedēļas. Uzaicināts bija viens karavīrs ar ģimeni, kas tajā dienā piedalījās kaujā, un arī viens virsnieks, kurš arī bija komandieris no Latvijas puses. Arī viņš bija strādājis ar 361. kavalērijas vienību un arī viņam gribēja pateikties par darbu... Gribu uzsvērt, ka ceļa naudu apmaksāja Amerikā dzīvojošie latvieši. Ērika māte bija visa šī procesa organizētāja. Uzņemšana bija brīnišķīga, viņi izrādīja cieņu mūsu karavīriem, kas dara kaut ko tādu, par ko daudz presē nerunā un neraksta.
Latvian	rv.lv	2011/01/22	Mūrniece gan saka, ka Lužkova bitēm Latvijas pienenes nemūžam neredzēt — bišu saimnieks ir Latvijas brīvvalstij naidīga persona: viņš nemīlot Latviju. Redz, vēl būdams mērs, tā nesmuki balstīja krievu valodas statusu. Un tā ir mīna Latvijas drošībai, uzskata Mūrniece un citas augstas amatpersonas. Tāpēc ilgi un dikti domāšot, atļaut vai neatļaut.
Latvian	diena.lv	2011/11/26	PĒDĒJĀ, kontrolēja PĀRDAUGAVAS telpu, izņemot LATVIEŠIEM pēkšņi atgūstot Bolderājas telpu, kur latviešiem ar savu karakuģu iznīcinošu uguni izlīdzēja briti un franči un veiksmīgu pašu organizēto DESANTU izdevās atkārtoti ieņemt telpu un Daugavgrīvas cietoksni, saņemot gūstā pustūkstoti krievu izcelsmes bermontiešu, kas LATVIJAS armijai palīdzēja radīt placdarmu nākotnes notikumiem, nedodot iespēju „kņazam”, Daugavai aizsalstot, to pāriet un sākt LATVIJAI liktenīgu UZBRUKUMU RĪGAI no ziemeļiem... Šķita dižais „kņazs” gaidīja Daugavas pārklāšanos ar ledu, kas
Latvian	la.lv	2011/04/30	"Ar Ivaru tikāmies viņa dzimtajos ""Lazdiņos"" Zaļajā ceturtdienā, iepazīstot vēl citu viņa darbības šķautni. Uz gaļas kūpināšanu pamudinājuši ekonomiskās lejupslīdes laikā sarukušie pasūtījumi bīstamo koku izvākšanā. Jauno virzienu izvēlēties nebija grūti. Apkārtnes ļaužu pieprasījumu pēc mājas žāvējumiem vietējie speciālisti nespēja apmierināt. Turklāt Ivara tēvs, mehanizators Broņislavs Livdāns, kūpināšanas gudrības izkopis vēl kolhozu laikos, rajonā audzētās pīles pārvēršot īstā delikatesē... Protams, pa laikam kūpinātas arī pašu audzētas vistiņas un cūkas gabaliņi, arvien uzlabojot un pilnveidojot marinādes, kurās nekad nav izmantots etiķis, toties dilles un virces nav žēlotas."
Latvian	nra.lv	2011/01/16	Piedāvājumu dalībai Kaļiņingradas AES no Putina saņēmusi arī Lietuva, savukārt Igaunija pagaidām palikusi neuzrunāta.
Latvian	bauskasdzive.lv	2011/08/06	Sistēmu modernizācijas darbu laikā visu elektronisko kanālu servisu darbībā iespējami īslaicīgi traucējumi laikā no plkst.1.45 līdz plkst.7.
Latvian	ziemellatvija.lv	2011/07/07	Par atrastu bojā gājušu medījamo dzīvnieku tā atradējam tāpat jāpaziņo VMD, bet dzīvnieka līķa savākšanu un iznīcināšanu nodrošina vietējā pašvaldība.
Latvian	db.lv	2011/10/11	Tādējādi lejamais alus pašreiz veido jau 32% no kopējā Valmiermuižas alus pārdotā alus apjoma. Kaut arī par prioritāriem eksporta tirgiem Valmiermuižas alus ir izvēlējies Baltijas jūras reģiona valstis, testa partijas pašreiz ir nosūtītas uz Igauniju, Dāniju un Dienviditāliju.
Latvian	la.lv	2011/09/20	Svarīgi ielāgot, ka kalcijs kavē citu zāļu uzsūkšanos, tādēļ tas uzņemams ar stundas vai divu intervālu, vēlams ēdienreizēs vai tūlīt pēc maltītes.
